fid, percentile_ratos_p20_p50_ratio, percentile_ratos_p80_p20_ratio, income_share_top_5pc_pc, median_aud, highest_quartile_pc, median_age_of_earners_years, sa2_code, third_quartile_pc, sa2_name, percentile_ratos_p80_p50_ratio, earners_persons, gini_coefficient_coef, income_share_top_1pc_pc, lowest_quartile_pc, mean_aud, sum_aud, second_quartile_pc, percentile_ratos_p10_p50_ratio, income_share_top_10pc_pc
778,0.33,7.32,30.9,60959.0,40.3,49.0,"209011201",17.5,"Ivanhoe East - Eaglemont",2.43,5450.0,0.58,13.1,22.1,105028.0,5.72402023E8,20.0,0.14,43.2
779,0.38,4.77,21.8,54620.0,30.1,45.0,"209011202",25.2,"Montmorency - Briar Hill",1.82,10034.0,0.467,9.9,21.8,68612.0,6.88449195E8,22.9,0.18,32.4
780,0.35,5.28,17.9,52582.0,29.3,44.0,"209011203",23.9,"Viewbank - Yallambie",1.86,10819.0,0.449,5.9,24.4,63094.0,6.82611787E8,22.4,0.15,29.1
857,0.36,5.08,17.5,46758.0,22.0,40.0,"211031266",26.4,"Ringwood",1.81,9980.0,0.442,5.6,26.2,54646.0,5.45365985E8,25.5,0.14,28.5
785,0.39,4.58,16.3,48132.0,23.4,37.0,"209021428",26.4,"Preston - East",1.8,11780.0,0.42,4.8,24.2,56088.0,6.60714075E8,26.0,0.19,27.2
793,0.41,4.51,18.1,53989.0,29.9,44.0,"209031215",24.9,"Wattle Glen - Diamond Creek",1.84,8903.0,0.431,6.2,20.7,65796.0,5.85785721E8,24.5,0.2,28.9
803,0.43,3.85,15.2,44885.0,16.4,39.0,"209041431",29.8,"Epping - East",1.66,7110.0,0.391,4.5,24.1,50104.0,3.56236491E8,29.7,0.22,25.6
804,0.41,3.99,15.2,43097.0,13.4,38.0,"209041432",30.3,"Epping - South",1.64,4467.0,0.395,4.2,26.4,47080.0,2.10307114E8,29.9,0.19,25.5
867,0.31,6.87,23.1,42437.0,24.2,48.0,"211041273",21.0,"Vermont South",2.15,7373.0,0.519,9.2,31.2,59615.0,4.39538699E8,23.6,0.13,35.1
794,0.34,5.38,18.8,46226.0,22.8,40.0,"209041216",25.0,"Bundoora - North",1.86,4182.0,0.459,6.0,27.2,56560.0,2.36533582E8,25.0,0.14,30.2
805,0.42,3.91,14.7,48002.0,19.2,36.0,"209041433",30.4,"Epping - West",1.66,5988.0,0.386,4.2,22.5,52975.0,3.17215692E8,27.9,0.22,25.0
806,0.46,3.54,14.6,51442.0,21.7,36.0,"209041434",31.9,"Mernda",1.63,9985.0,0.373,4.2,19.2,56600.0,5.65146649E8,27.2,0.25,24.6
807,0.45,3.71,15.6,52318.0,24.2,39.0,"209041435",30.7,"South Morang (North)",1.67,6953.0,0.387,5.0,19.3,59330.0,4.12522522E8,25.8,0.23,25.7
797,0.43,3.96,16.2,47643.0,20.2,42.0,"209041220",28.8,"Mill Park - North",1.72,10634.0,0.402,5.3,22.4,54719.0,5.81880983E8,28.6,0.22,26.7
798,0.42,3.99,15.1,47167.0,18.4,41.0,"209041221",30.0,"Mill Park - South",1.67,6851.0,0.395,4.5,23.6,52079.0,3.56792074E8,28.0,0.19,25.5
929,0.43,3.77,13.7,45109.0,14.4,40.0,"213011331",31.1,"Delahey",1.63,4418.0,0.374,3.7,24.3,48203.0,2.1296108E8,30.3,0.21,23.8
799,0.4,4.28,16.1,40228.0,12.6,38.0,"209041223",27.4,"Thomastown",1.7,9715.0,0.414,5.0,29.1,45131.0,4.38450772E8,30.8,0.19,26.7
800,0.45,3.74,14.9,50913.0,22.2,40.0,"209041224",30.9,"Wallan",1.67,9623.0,0.382,4.4,20.1,56480.0,5.43511842E8,26.8,0.24,25.1
801,0.42,4.23,18.1,49063.0,23.1,45.0,"209041225",27.6,"Whittlesea",1.77,4511.0,0.428,6.6,22.3,58420.0,2.63533048E8,27.0,0.2,28.8
802,0.42,3.93,15.1,53676.0,25.8,38.0,"209041430",29.9,"Doreen",1.67,12150.0,0.391,4.4,20.0,59629.0,7.2449287E8,24.3,0.21,25.4
808,0.43,3.87,15.6,49519.0,20.4,40.0,"209041436",31.0,"South Morang (South)",1.66,6787.0,0.392,5.0,21.5,55537.0,3.76932621E8,27.1,0.22,25.9
809,0.45,3.63,14.0,48687.0,19.1,34.0,"209041437",31.3,"Wollert",1.64,5750.0,0.371,3.8,20.8,53211.0,3.05961884E8,28.7,0.25,24.1
812,0.37,5.08,21.9,50448.0,27.4,46.0,"210011228",24.3,"Keilor",1.89,5350.0,0.477,9.4,24.2,65532.0,3.50594272E8,24.1,0.17,33.0
813,0.38,4.95,18.5,49523.0,25.4,44.0,"210011229",25.7,"Keilor East",1.86,14568.0,0.45,6.2,24.7,60289.0,8.78285678E8,24.2,0.16,29.7
814,0.37,4.96,18.6,54804.0,31.0,43.0,"210011230",24.6,"Niddrie - Essendon West",1.84,4312.0,0.452,5.8,22.0,67447.0,2.90829945E8,22.3,0.18,30.1
815,0.36,5.38,21.3,56942.0,33.7,46.0,"210011231",23.0,"Strathmore",1.94,6132.0,0.478,7.6,21.8,75026.0,4.60057343E8,21.5,0.16,33.1
